GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
1.58,2.29,18,0,1,0,2.5,3.5,1,1,complete,0,0,1,0,1,79.3,1,66,1,2,usually,0,0,0,1,1,complete,Other,0,4,0,0,M,1,1,1,1,0,0,1,0,0,4,0,0,0,0
0.3,0.71,18,0,1,1,1,1.5,1,0,complete,1,1,1,0,0,75,1,56,0,1,occasion,0,0,4,1,0,graduate,English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.64,2.45,18,0,1,1,3,2.5,1,1,complete,1,0,1,1,1,87.3,1,72,1,3,usually,0,0,1,1,1,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.08,1.19,19,0,1,1,2,2,1,0,complete,0,0,1,0,0,80.8,1,57,1,3,occasion,0,0,4,0,0,don t kn,Other,0,5,1,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.4,2.98,18,0,1,1,2.5,4.5,1,1,complete,1,1,1,0,1,84,1,59,1,3,occasion,0,0,3,1,1,complete,English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.7,2.18,18,1,1,1,3,2,0,0,don t kn,1,1,0,1,1,82.2,0,63.5,0,3,occasion,0,0,0,1,0,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.63,2.33,18,1,1,1,3,4.5,1,1,complete,1,1,1,1,1,76.3,1,61,1,2,often,0,0,4,1,1,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.48,2.36,18,0,1,0,3.5,3.5,1,1,complete,1,0,1,1,1,78,0,72.5,0,2,often,0,0,1.5,1,1,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,1,0,5,0,0,0,0
2.43,2.76,18,0,1,1,2,4,1,0,complete,1,0,1,1,1,80,1,,0,2,rarely,0,1,1,1,0,complete,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.38,1.77,19,0,1,1,2.5,4.5,1,1,complete,1,0,1,1,1,82.2,1,61,1,3,rarely,0,1,3,1,1,complete,English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.44,1.52,18,0,1,0,2,2,1,0,graduate,1,1,1,0,0,75.3,1,74,1,1,occasion,0,0,1,1,0,graduate,English,0,4,0,0,F,0,0,0,0,0,0,0,1,0,4.5,0,0,0,0
1.28,2,18,0,1,1,2,2.5,1,0,graduate,0,1,1,0,1,77.2,1,58.5,1,2,occasion,0,0,0,1,0,graduate,Other,0,4,0,0,F,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
1.7,1.43,18,0,1,1,3.5,3,1,1,complete,0,0,1,1,1,78.2,1,67,0,2,rarely,0,1,2,1,1,complete,Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.09,2.4,18,0,1,1,3.5,4.5,1,1,complete,0,0,1,1,1,85.8,0,78.5,1,3,occasion,0,0,3.5,1,1,complete,Other,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.37,,18,0,1,1,3,0,1,0,attended,1,1,1,1,0,82.7,0,66,0,3,occasion,0,0,2,1,0,graduate,English,0,5,0,1,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
2.33,3.57,18,0,1,1,2.5,1.5,1,1,complete,1,1,1,1,1,87,0,71,1,3,never,1,0,1,1,0,complete,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.6,2.93,19,0,1,1,2,2.5,0,0,did not,1,0,1,0,1,79.8,1,78,1,2,rarely,0,1,0,0,0,did not,English,0,3,0,0,M,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1.39,1.54,18,0,1,0,3,2,1,1,complete,1,1,1,0,0,77.7,0,73,1,2,occasion,0,0,0,1,0,attended,English,0,4,1,0,F,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
1.59,2.3,18,0,1,1,3,4.5,1,1,complete,1,0,1,1,1,75.8,0,67.5,0,1,rarely,0,1,1,1,1,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.91,2.46,18,1,1,1,4,4,1,1,complete,1,0,1,1,1,73.7,0,81.33334,1,1,often,0,0,0,1,0,complete,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.12,2.93,19,1,1,0,2.5,2.75,1,0,complete,1,0,1,1,1,76.8,0,60,1,2,rarely,0,1,0,1,0,complete,English,0,6,0,0,M,1,0,1,0,0,0,0,0,0,4.5,0,0,0,0
2.09,2.7,18,0,1,1,3,3.5,1,1,complete,1,1,1,1,1,82.5,1,71,1,3,rarely,0,1,1,1,1,complete,English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1.84,1.28,18,,1,0,3.5,2,1,1,complete,0,1,1,1,1,82.3,1,75,0,3,often,0,0,1.5,1,1,complete,Other,0,4,0,0,F,0,0,0,0,0,0,1,1,1,4.5,0,0,0,0
1.75,2.38,18,0,1,0,2.5,2.5,1,1,complete,1,1,0,1,1,75.5,1,70,1,1,rarely,0,1,0,1,1,complete,English,0,4,0,0,F,0,0,1,1,1,1,1,0,0,4,1,0,1,0
3,2.2,19,0,1,1,3,2,1,1,complete,1,0,1,1,1,79.2,1,74,1,2,occasion,0,0,1,1,0,complete,English,0,4,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.64,1.39,18,0,1,0,3,3,0,0,don t kn,1,1,1,1,1,79.8,1,62.5,1,2,occasion,0,0,3,0,0,don t kn,English,0,5,0,0,F,0,0,0,0,0,0,1,1,1,4.5,1,1,1,0
2.68,2.67,18,0,1,1,2.5,5,1,0,complete,1,1,0,1,1,77.8,0,78,1,2,occasion,0,0,1,0,0,did not,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
